L1,L2,L3,R1,R2,R3,D1,1X,1Y,1Z,2X,2Y,2Z
0,0,-14,-8,-2,-3,151.0,1318.0,-419.0,481.0,773.0,-6.0,106.0
0,0,-15,21,2,-5,1063.0,1151.0,-85.0,1202.0,1418.0,-189.0,-36.0
0,0,28,23,14,-5,1196.0,1816.0,-783.0,-686.0,1048.0,-17.0,391.0
0,0,117,-25,-1,-5,1181.0,1532.0,-666.0,335.0,791.0,-176.0,386.0
0,0,123,-29,-2,-5,1129.0,505.0,-421.0,979.0,834.0,-45.0,342.0
0,0,110,-30,-2,-5,1077.0,580.0,-409.0,648.0,856.0,-241.0,304.0
0,0,118,-29,-3,-5,8191.0,737.0,-391.0,776.0,842.0,-313.0,209.0
13,3,34,-29,-2,-5,195.0,922.0,-90.0,734.0,740.0,-52.0,0.0
78,21,-13,-30,-3,-5,195.0,1263.0,-278.0,635.0,1433.0,-430.0,-213.0
21,25,-15,-29,-2,4,195.0,1652.0,-273.0,228.0,942.0,-373.0,388.0
0,0,-18,-25,-3,4,195.0,917.0,-316.0,207.0,885.0,-23.0,214.0
0,0,-17,-23,-3,5,195.0,798.0,-280.0,115.0,867.0,-160.0,373.0
0,0,-14,-24,-2,8,195.0,957.0,-463.0,275.0,962.0,-90.0,334.0
0,0,-10,-22,-3,7,195.0,996.0,-199.0,253.0,849.0,39.0,247.0
0,0,-12,-9,-2,-5,195.0,189.0,35.0,753.0,982.0,57.0,-19.0
0,0,0,35,6,-5,1141.0,1968.0,-505.0,479.0,1434.0,-129.0,132.0
0,0,78,5,10,-5,1141.0,893.0,-524.0,-628.0,986.0,-112.0,528.0
0,0,132,-25,-1,-5,1141.0,200.0,-213.0,349.0,992.0,-248.0,365.0
0,0,138,-29,-2,-5,1160.0,407.0,-577.0,592.0,866.0,-246.0,291.0
0,0,137,-30,-3,-5,1121.0,641.0,-364.0,803.0,864.0,-233.0,269.0
0,0,106,-29,-3,-5,131.0,510.0,-439.0,518.0,582.0,-77.0,-42.0
38,13,-5,-29,-2,-5,8191.0,924.0,-586.0,179.0,1298.0,-419.0,-169.0
45,35,-14,-30,-2,-5,8191.0,3062.0,-946.0,587.0,1535.0,-367.0,23.0
4,0,-17,-22,-3,2,8191.0,809.0,-230.0,188.0,704.0,-22.0,474.0
0,0,-16,-22,-2,5,8191.0,961.0,-321.0,176.0,1026.0,-115.0,181.0
0,0,-17,-23,-3,5,8191.0,1001.0,-254.0,154.0,969.0,-197.0,299.0
0,0,-15,-22,-2,7,8191.0,913.0,-274.0,256.0,921.0,-92.0,329.0
0,0,-13,-25,-2,6,146.0,446.0,-111.0,530.0,523.0,-38.0,-112.0
0,0,-5,-4,-2,-5,8191.0,228.0,-289.0,1483.0,1309.0,-108.0,-225.0
